collector_number,printed_set_number,card_name,tcgdex_name,category,pokemon_species,dex_number,rarity,rarity_group,hp,pokemon_type,stage,evolves_from,is_ex,artist,regulation_mark,abilities,attacks,weaknesses,retreat,has_normal,has_holo,has_reverse_holo,variant_confidence,official_source,metadata_sources,source_confidence,source_notes,tcgdex_id,pokemon_tcg_api_id,image
082,082,Magneton,Magneton,Pokemon,Magneton,[82],Uncommon,Uncommon,90,"[""Lightning""]",Stage1,Magnemite,0,Yuka Morii,G,[],"[""Junk Magnet"",""Head Bolt""]","[{""type"":""Fighting"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-082,sv3pt5-82,https://assets.tcgdex.net/en/sv/sv03.5/082
083,083,Farfetch’d,Farfetch'd,Pokemon,Farfetch'd,[83],Common,Common,90,"[""Colorless""]",Basic,,0,KG-2000,G,[],"[""Package Deal"",""Leek Clobber""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-083,sv3pt5-83,https://assets.tcgdex.net/en/sv/sv03.5/083
084,084,Doduo,Doduo,Pokemon,Doduo,[84],Common,Common,70,"[""Colorless""]",Basic,,0,Anesaki Dynamic,G,[],"[""Reckless Charge""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-084,sv3pt5-84,https://assets.tcgdex.net/en/sv/sv03.5/084
085,085,Dodrio,Dodrio,Pokemon,Dodrio,[85],Rare,Rare,100,"[""Colorless""]",Stage1,Doduo,0,Anesaki Dynamic,G,"[""Zooming Draw""]","[""Ballistic Beak""]","[{""type"":""Lightning"",""value"":""×2""}]",1,0,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-085,sv3pt5-85,https://assets.tcgdex.net/en/sv/sv03.5/085
086,086,Seel,Seel,Pokemon,Seel,[86],Common,Common,80,"[""Water""]",Basic,,0,aoki,G,[],"[""Chilly""]","[{""type"":""Lightning"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-086,sv3pt5-86,https://assets.tcgdex.net/en/sv/sv03.5/086
087,087,Dewgong,Dewgong,Pokemon,Dewgong,[87],Uncommon,Uncommon,130,"[""Water""]",Stage1,Seel,0,aoki,G,[],"[""Dual Splash"",""Aurora Beam""]","[{""type"":""Lightning"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-087,sv3pt5-87,https://assets.tcgdex.net/en/sv/sv03.5/087
088,088,Grimer,Grimer,Pokemon,Grimer,[88],Common,Common,80,"[""Darkness""]",Basic,,0,Nisota Niso,G,[],"[""Gummy Press""]","[{""type"":""Fighting"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-088,sv3pt5-88,https://assets.tcgdex.net/en/sv/sv03.5/088
089,089,Muk,Muk,Pokemon,Muk,[89],Uncommon,Uncommon,150,"[""Darkness""]",Stage1,Grimer,0,Nisota Niso,G,[],"[""Sticky Jail"",""Sludge Bomb""]","[{""type"":""Fighting"",""value"":""×2""}]",4,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-089,sv3pt5-89,https://assets.tcgdex.net/en/sv/sv03.5/089
090,090,Shellder,Shellder,Pokemon,Shellder,[90],Common,Common,70,"[""Water""]",Basic,,0,Nelnal,G,[],"[""Shell Press""]","[{""type"":""Lightning"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-090,sv3pt5-90,https://assets.tcgdex.net/en/sv/sv03.5/090
091,091,Cloyster,Cloyster,Pokemon,Cloyster,[91],Uncommon,Uncommon,130,"[""Water""]",Stage1,Shellder,0,Nelnal,G,[],"[""Protect Charge""]","[{""type"":""Lightning"",""value"":""×2""}]",3,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-091,sv3pt5-91,https://assets.tcgdex.net/en/sv/sv03.5/091
092,092,Gastly,Gastly,Pokemon,Gastly,[92],Common,Common,50,"[""Psychic""]",Basic,,0,Tomokazu Komiya,G,[],"[""Suffocating Gas""]","[{""type"":""Darkness"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-092,sv3pt5-92,https://assets.tcgdex.net/en/sv/sv03.5/092
093,093,Haunter,Haunter,Pokemon,Haunter,[93],Uncommon,Uncommon,80,"[""Psychic""]",Stage1,Gastly,0,Tomokazu Komiya,G,"[""Spirit Return""]","[""Mumble""]","[{""type"":""Darkness"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-093,sv3pt5-93,https://assets.tcgdex.net/en/sv/sv03.5/093
094,094,Gengar,Gengar,Pokemon,Gengar,[94],Rare,Rare,130,"[""Psychic""]",Stage2,Haunter,0,Tomokazu Komiya,G,[],"[""Poltergeist"",""Hollow Dive""]","[{""type"":""Darkness"",""value"":""×2""}]",0,0,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-094,sv3pt5-94,https://assets.tcgdex.net/en/sv/sv03.5/094
095,095,Onix,Onix,Pokemon,Onix,[95],Uncommon,Uncommon,120,"[""Fighting""]",Basic,,0,Shin Nagasawa,G,[],"[""Thumpalanche"",""Heavy Impact""]","[{""type"":""Grass"",""value"":""×2""}]",4,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-095,sv3pt5-95,https://assets.tcgdex.net/en/sv/sv03.5/095
096,096,Drowzee,Drowzee,Pokemon,Drowzee,[96],Common,Common,80,"[""Psychic""]",Basic,,0,Mousho,G,[],"[""Zen Headbutt""]","[{""type"":""Darkness"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-096,sv3pt5-96,https://assets.tcgdex.net/en/sv/sv03.5/096
097,097,Hypno,Hypno,Pokemon,Hypno,[97],Uncommon,Uncommon,110,"[""Psychic""]",Stage1,Drowzee,0,Mousho,G,"[""Here for Hypnosis""]","[""Super Psy Bolt""]","[{""type"":""Darkness"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-097,sv3pt5-97,https://assets.tcgdex.net/en/sv/sv03.5/097
098,098,Krabby,Krabby,Pokemon,Krabby,[98],Common,Common,70,"[""Water""]",Basic,,0,Yukiko Baba,G,[],"[""Salt Water"",""Crabhammer""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-098,sv3pt5-98,https://assets.tcgdex.net/en/sv/sv03.5/098
099,099,Kingler,Kingler,Pokemon,Kingler,[99],Uncommon,Uncommon,140,"[""Water""]",Stage1,Krabby,0,Yukiko Baba,G,[],"[""Hammer Arm"",""Guillotine""]","[{""type"":""Lightning"",""value"":""×2""}]",3,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-099,sv3pt5-99,https://assets.tcgdex.net/en/sv/sv03.5/099
100,100,Voltorb,Voltorb,Pokemon,Voltorb,[100],Common,Common,60,"[""Lightning""]",Basic,,0,nagimiso,G,[],"[""Tumbling Attack""]","[{""type"":""Fighting"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-100,sv3pt5-100,https://assets.tcgdex.net/en/sv/sv03.5/100
101,101,Electrode,Electrode,Pokemon,Electrode,[101],Rare,Rare,90,"[""Lightning""]",Stage1,Voltorb,0,nagimiso,G,[],"[""Bang Boom Chain"",""Electro Ball""]","[{""type"":""Fighting"",""value"":""×2""}]",1,0,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-101,sv3pt5-101,https://assets.tcgdex.net/en/sv/sv03.5/101
102,102,Exeggcute,Exeggcute,Pokemon,Exeggcute,[102],Common,Common,60,"[""Grass""]",Basic,,0,Shigenori Negishi,G,[],"[""Ball Roll""]","[{""type"":""Fire"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-102,sv3pt5-102,https://assets.tcgdex.net/en/sv/sv03.5/102
103,103,Exeggutor,Exeggutor,Pokemon,Exeggutor,[103],Uncommon,Uncommon,140,"[""Grass""]",Stage1,Exeggcute,0,Shigenori Negishi,G,[],"[""Psychic"",""Hammer In""]","[{""type"":""Fire"",""value"":""×2""}]",3,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-103,sv3pt5-103,https://assets.tcgdex.net/en/sv/sv03.5/103
104,104,Cubone,Cubone,Pokemon,Cubone,[104],Common,Common,70,"[""Fighting""]",Basic,,0,Shinya Komatsu,G,"[""Cheering Bone""]","[""Hit Twice""]","[{""type"":""Grass"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-104,sv3pt5-104,https://assets.tcgdex.net/en/sv/sv03.5/104
105,105,Marowak,Marowak,Pokemon,Marowak,[105],Rare,Rare,120,"[""Fighting""]",Stage1,Cubone,0,Shinya Komatsu,G,[],"[""Bone Throw"",""Boundless Power""]","[{""type"":""Grass"",""value"":""×2""}]",2,0,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-105,sv3pt5-105,https://assets.tcgdex.net/en/sv/sv03.5/105
106,106,Hitmonlee,Hitmonlee,Pokemon,Hitmonlee,[106],Uncommon,Uncommon,120,"[""Fighting""]",Basic,,0,Hitoshi Ariga,G,[],"[""Twister Kick"",""Low Kick""]","[{""type"":""Psychic"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-106,sv3pt5-106,https://assets.tcgdex.net/en/sv/sv03.5/106
107,107,Hitmonchan,Hitmonchan,Pokemon,Hitmonchan,[107],Uncommon,Uncommon,120,"[""Fighting""]",Basic,,0,DOM,G,"[""Counterattack""]","[""Excited Punch""]","[{""type"":""Psychic"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-107,sv3pt5-107,https://assets.tcgdex.net/en/sv/sv03.5/107
108,108,Lickitung,Lickitung,Pokemon,Lickitung,[108],Common,Common,100,"[""Colorless""]",Basic,,0,Saya Tsuruta,G,[],"[""Tongue-Tied""]","[{""type"":""Fighting"",""value"":""×2""}]",4,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-108,sv3pt5-108,https://assets.tcgdex.net/en/sv/sv03.5/108
109,109,Koffing,Koffing,Pokemon,Koffing,[109],Common,Common,60,"[""Darkness""]",Basic,,0,Shibuzoh.,G,[],"[""Suspicious Gas""]","[{""type"":""Fighting"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-109,sv3pt5-109,https://assets.tcgdex.net/en/sv/sv03.5/109
110,110,Weezing,Weezing,Pokemon,Weezing,[110],Rare,Rare,110,"[""Darkness""]",Stage1,Koffing,0,Shibuzoh.,G,"[""Let's Have a Blast""]","[""Spinning Fumes""]","[{""type"":""Fighting"",""value"":""×2""}]",2,0,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-110,sv3pt5-110,https://assets.tcgdex.net/en/sv/sv03.5/110
111,111,Rhyhorn,Rhyhorn,Pokemon,Rhyhorn,[111],Common,Common,100,"[""Fighting""]",Basic,,0,GOSSAN,G,[],"[""Push Down"",""Boulder Crush""]","[{""type"":""Grass"",""value"":""×2""}]",3,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-111,sv3pt5-111,https://assets.tcgdex.net/en/sv/sv03.5/111
112,112,Rhydon,Rhydon,Pokemon,Rhydon,[112],Uncommon,Uncommon,120,"[""Fighting""]",Stage1,Rhyhorn,0,GOSSAN,G,[],"[""Wrack Down"",""Charismatic Drill""]","[{""type"":""Grass"",""value"":""×2""}]",4,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-112,sv3pt5-112,https://assets.tcgdex.net/en/sv/sv03.5/112
113,113,Chansey,Chansey,Pokemon,Chansey,[113],Rare,Rare,110,"[""Colorless""]",Basic,,0,Taiga Kayama,G,"[""Lucky Bonus""]","[""Gentle Slap""]","[{""type"":""Fighting"",""value"":""×2""}]",2,0,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-113,sv3pt5-113,https://assets.tcgdex.net/en/sv/sv03.5/113
114,114,Tangela,Tangela,Pokemon,Tangela,[114],Common,Common,80,"[""Grass""]",Basic,,0,Aya Kusube,G,[],"[""Tactful Tangling""]","[{""type"":""Fire"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-114,sv3pt5-114,https://assets.tcgdex.net/en/sv/sv03.5/114
115,115,Kangaskhan ex,Kangaskhan ex,Pokemon,Kangaskhan,[115],Double rare,Double Rare,230,"[""Colorless""]",Basic,,1,N-DESIGN Inc.,G,[],"[""Triple Draw"",""Incessant Punching""]","[{""type"":""Fighting"",""value"":""×2""}]",2,0,1,0,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-115,sv3pt5-115,https://assets.tcgdex.net/en/sv/sv03.5/115
116,116,Horsea,Horsea,Pokemon,Horsea,[116],Common,Common,60,"[""Water""]",Basic,,0,aspara,G,[],"[""Rain Splash"",""Sharp Fin""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-116,sv3pt5-116,https://assets.tcgdex.net/en/sv/sv03.5/116
117,117,Seadra,Seadra,Pokemon,Seadra,[117],Uncommon,Uncommon,80,"[""Water""]",Stage1,Horsea,0,aspara,G,[],"[""Blinding Ink""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-117,sv3pt5-117,https://assets.tcgdex.net/en/sv/sv03.5/117
118,118,Goldeen,Goldeen,Pokemon,Goldeen,[118],Common,Common,70,"[""Water""]",Basic,,0,SIE NANAHARA,G,[],"[""Triple Strike"",""Sprinkle Water""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-118,sv3pt5-118,https://assets.tcgdex.net/en/sv/sv03.5/118
119,119,Seaking,Seaking,Pokemon,Seaking,[119],Uncommon,Uncommon,110,"[""Water""]",Stage1,Goldeen,0,SIE NANAHARA,G,[],"[""Swim Freely"",""Aqua Horn""]","[{""type"":""Lightning"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-119,sv3pt5-119,https://assets.tcgdex.net/en/sv/sv03.5/119
120,120,Staryu,Staryu,Pokemon,Staryu,[120],Common,Common,60,"[""Water""]",Basic,,0,Arai Kiriko,G,[],"[""Swift""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-120,sv3pt5-120,https://assets.tcgdex.net/en/sv/sv03.5/120
121,121,Starmie,Starmie,Pokemon,Starmie,[121],Rare,Rare,90,"[""Water""]",Stage1,Staryu,0,Arai Kiriko,G,"[""Mysterious Comet""]","[""Speed Attack""]","[{""type"":""Lightning"",""value"":""×2""}]",1,0,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-121,sv3pt5-121,https://assets.tcgdex.net/en/sv/sv03.5/121
122,122,Mr. Mime,Mr. Mime,Pokemon,Mr. Mime,[122],Rare,Rare,90,"[""Psychic""]",Basic,,0,OOYAMA,G,"[""Mimic Barrier""]","[""Psypower""]","[{""type"":""Darkness"",""value"":""×2""}]",1,0,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-122,sv3pt5-122,https://assets.tcgdex.net/en/sv/sv03.5/122
