collector_number,card_name,rarity,finish,variant_status,variant_source,variant_confidence,variant_notes,detected_treatment,treatment_source,treatment_confidence
147,Dratini,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733742; local_target_ids=none; finish is separate from rarity.,,,
147,Dratini,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733742; local_target_ids=none; finish is separate from rarity.,,,
148,Dragonair,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733743; local_target_ids=none; finish is separate from rarity.,,,
148,Dragonair,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733743; local_target_ids=none; finish is separate from rarity.,,,
149,Dragonite,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733744,864952; local_target_ids=none; finish is separate from rarity.",foil=cosmos,tcgdex.variants_detailed,SUPPORTED
149,Dragonite,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733744; local_target_ids=none; finish is separate from rarity.,,,
149,Dragonite,Rare,holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=cosmos,tcgdex.variants_detailed,MEDIUM
150,Mewtwo,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733745; local_target_ids=none; finish is separate from rarity.,,,
150,Mewtwo,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733745; local_target_ids=none; finish is separate from rarity.,,,
151,Mew ex,Double rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733746; local_target_ids=none; finish is separate from rarity.,,,
152,Antique Dome Fossil,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733747; local_target_ids=none; finish is separate from rarity.,,,
152,Antique Dome Fossil,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733747; local_target_ids=none; finish is separate from rarity.,,,
153,Antique Helix Fossil,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733748; local_target_ids=none; finish is separate from rarity.,,,
153,Antique Helix Fossil,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733748; local_target_ids=none; finish is separate from rarity.,,,
154,Antique Old Amber,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733749; local_target_ids=none; finish is separate from rarity.,,,
154,Antique Old Amber,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733749; local_target_ids=none; finish is separate from rarity.,,,
155,Big Air Balloon,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733750; local_target_ids=none; finish is separate from rarity.,,,
155,Big Air Balloon,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733750; local_target_ids=none; finish is separate from rarity.,,,
156,Bill’s Transfer,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733751; local_target_ids=none; finish is separate from rarity.,,,
156,Bill’s Transfer,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733751; local_target_ids=none; finish is separate from rarity.,,,
157,Cycling Road,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733752; local_target_ids=none; finish is separate from rarity.,,,
157,Cycling Road,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733752; local_target_ids=none; finish is separate from rarity.,,,
158,Daisy’s Help,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733753; local_target_ids=none; finish is separate from rarity.,,,
158,Daisy’s Help,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733753; local_target_ids=none; finish is separate from rarity.,,,
159,Energy Sticker,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733754; local_target_ids=none; finish is separate from rarity.,,,
159,Energy Sticker,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733754; local_target_ids=none; finish is separate from rarity.,,,
160,Erika’s Invitation,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733755; local_target_ids=none; finish is separate from rarity.,,,
160,Erika’s Invitation,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733755; local_target_ids=none; finish is separate from rarity.,,,
161,Giovanni’s Charisma,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733756; local_target_ids=none; finish is separate from rarity.,,,
161,Giovanni’s Charisma,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733756; local_target_ids=none; finish is separate from rarity.,,,
162,Grabber,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733757; local_target_ids=none; finish is separate from rarity.,,,
162,Grabber,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733757; local_target_ids=none; finish is separate from rarity.,,,
163,Leftovers,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733758; local_target_ids=none; finish is separate from rarity.,,,
163,Leftovers,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733758; local_target_ids=none; finish is separate from rarity.,,,
164,Protective Goggles,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733759; local_target_ids=none; finish is separate from rarity.,,,
164,Protective Goggles,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733759; local_target_ids=none; finish is separate from rarity.,,,
165,Rigid Band,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733760; local_target_ids=none; finish is separate from rarity.,,,
165,Rigid Band,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733760; local_target_ids=none; finish is separate from rarity.,,,
166,Bulbasaur,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733761; local_target_ids=none; finish is separate from rarity.,,,
167,Ivysaur,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733762; local_target_ids=none; finish is separate from rarity.,,,
168,Charmander,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733763; local_target_ids=none; finish is separate from rarity.,,,
169,Charmeleon,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733764; local_target_ids=none; finish is separate from rarity.,,,
170,Squirtle,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733765; local_target_ids=none; finish is separate from rarity.,,,
171,Wartortle,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733766; local_target_ids=none; finish is separate from rarity.,,,
172,Caterpie,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733767; local_target_ids=none; finish is separate from rarity.,,,
173,Pikachu,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733768; local_target_ids=none; finish is separate from rarity.,,,
174,Nidoking,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733769; local_target_ids=none; finish is separate from rarity.,,,
175,Psyduck,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733770; local_target_ids=none; finish is separate from rarity.,,,
176,Poliwhirl,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733771; local_target_ids=none; finish is separate from rarity.,,,
177,Machoke,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733772; local_target_ids=none; finish is separate from rarity.,,,
178,Tangela,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733773; local_target_ids=none; finish is separate from rarity.,,,
179,Mr. Mime,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733774; local_target_ids=none; finish is separate from rarity.,,,
180,Omanyte,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733775; local_target_ids=none; finish is separate from rarity.,,,
181,Dragonair,Illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733776; local_target_ids=none; finish is separate from rarity.,,,
182,Venusaur ex,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733777; local_target_ids=none; finish is separate from rarity.,,,
183,Charizard ex,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733778; local_target_ids=none; finish is separate from rarity.,,,
184,Blastoise ex,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733779; local_target_ids=none; finish is separate from rarity.,,,
185,Arbok ex,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733780; local_target_ids=none; finish is separate from rarity.,,,
186,Ninetales ex,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733781; local_target_ids=none; finish is separate from rarity.,,,
187,Wigglytuff ex,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733782; local_target_ids=none; finish is separate from rarity.,,,
188,Alakazam ex,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733783; local_target_ids=none; finish is separate from rarity.,,,
189,Golem ex,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733784; local_target_ids=none; finish is separate from rarity.,,,
190,Kangaskhan ex,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733785; local_target_ids=none; finish is separate from rarity.,,,
191,Jynx ex,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733786; local_target_ids=none; finish is separate from rarity.,,,
192,Zapdos ex,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733787; local_target_ids=none; finish is separate from rarity.,,,
193,Mew ex,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733788; local_target_ids=none; finish is separate from rarity.,,,
194,Bill’s Transfer,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733789; local_target_ids=none; finish is separate from rarity.,,,
195,Daisy’s Help,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733790; local_target_ids=none; finish is separate from rarity.,,,
196,Erika’s Invitation,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733791; local_target_ids=none; finish is separate from rarity.,,,
197,Giovanni’s Charisma,Ultra Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733792; local_target_ids=none; finish is separate from rarity.,,,
198,Venusaur ex,Special illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733793; local_target_ids=none; finish is separate from rarity.,,,
199,Charizard ex,Special illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733794; local_target_ids=none; finish is separate from rarity.,,,
200,Blastoise ex,Special illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733795; local_target_ids=none; finish is separate from rarity.,,,
201,Alakazam ex,Special illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733796; local_target_ids=none; finish is separate from rarity.,,,
202,Zapdos ex,Special illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733797; local_target_ids=none; finish is separate from rarity.,,,
203,Erika’s Invitation,Special illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733798; local_target_ids=none; finish is separate from rarity.,,,
204,Giovanni’s Charisma,Special illustration rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733799; local_target_ids=none; finish is separate from rarity.,,,
205,Mew ex,Hyper rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=720951,733800,814545; local_target_ids=none; finish is separate from rarity.",foil=gold,tcgdex.variants_detailed,SUPPORTED
205,Mew ex,Hyper rare,holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=gold,tcgdex.variants_detailed,MEDIUM
205,Mew ex,Hyper rare,holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=gold,tcgdex.variants_detailed,MEDIUM
205,Mew ex,Hyper rare,metal,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=gold,tcgdex.variants_detailed,MEDIUM
206,Switch,Hyper rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733801,733801; local_target_ids=none; finish is separate from rarity.",foil=gold,tcgdex.variants_detailed,SUPPORTED
206,Switch,Hyper rare,holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=gold,tcgdex.variants_detailed,MEDIUM
207,Basic Energy,Hyper rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733802,733802; local_target_ids=none; finish is separate from rarity.",foil=gold,tcgdex.variants_detailed,SUPPORTED
207,Basic Energy,Hyper rare,holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=gold,tcgdex.variants_detailed,MEDIUM
